Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
1,1,2825.781736,2837.781736,2881.0437782318572,0,0,0.06969933728024671
1,2,1659.107734,1685.107734,1778.8421588356903,0.4128676985687758,0.33747655407099963,0.05673215421374525
1,3,630.7788439,670.7788439,814.9856513395237,0.7767772238513753,0.7185951171510153,0.03697383196773802
1,4,27.84060355,81.84060355,276.51979359335695,0.9901476454478718,1.004665967060961,NA
1,5,18.06201398,86.06201398,331.21358662719024,0.9936081354940147,1.0077647146500375,NA
1,6,11.74577766,93.74577766,389.3697329110235,0.9958433528285782,1.0095954684818498,NA
2,1,2689.06735,2701.06735,2744.329392231857,0,0,0.06795677913149542
2,2,1548.260244,1574.260244,1667.9946688356904,0.4242389488682758,0.3510740984040548,0.05474322031098464
2,3,637.6065981,677.6065981,821.8134055395237,0.7628893162158991,0.7005397890015909,0.037187959563905575
2,4,44.78791509,98.78791509,293.46710513335694,0.9833444427898023,0.9947135855423686,0.004940983361807461
2,5,32.86154969,100.86154969,346.0131223371902,0.9877795735796651,0.9971163570361761,0.003649249277349481
2,6,25.44223999,107.44223999,403.06619524102354,0.9905386378701151,0.9966115871301008,0.003955769232413959
3,1,2631.867307,2643.867307,2687.1293492318573,0,0,0.06721430533150216
3,2,1492.882259,1518.882259,1612.6166838356903,0.43276689708885846,0.3611764882841786,0.05372199850445189
3,3,583.2162804,623.2162804,767.4230878395236,0.7784020954062484,0.7218883284524958,0.03544633373736038
3,4,38.01920483,92.01920483,286.69839487335696,0.9855542850777925,0.9987583537584732,0.0023684305461382526
3,5,21.28827021,89.28827021000001,334.43984285719023,0.9919113436481469,1.0058867258215196,NA
3,6,15.2380429,97.2380429,392.8619981510235,0.9942101781273428,1.0068040850396829,NA
4,1,2777.262487,2789.262487,2832.5245292318573,0,0,0.06908594368488903
4,2,1533.864737,1559.864737,1653.5991618356904,0.44770624160308253,0.37814611337541854,0.05447959504830834
4,3,631.1896206,671.1896206,815.3964280395237,0.7727295768568814,0.7133757415945091,0.03698674952694151
4,4,42.86599665,96.86599665,291.545186693357,0.9845653780113871,0.9960036351585728,0.004367392852572292
4,5,30.59702444,98.59702444,343.7485970871902,0.9889830275016421,0.9988460749333107,0.0023468130689819067
4,6,16.78735846,98.78735846000001,394.4113137110235,0.993955429658313,1.0049647710168332,NA
5,1,2983.56287,2995.56287,3038.8249122318575,0,0,0.0716577581842483
5,2,1749.408956,1775.408956,1869.1433808356903,0.4136510500279822,0.33801995860078693,0.058302296934021204
5,3,600.3145879,640.3145879,784.5213953395237,0.798792713927292,0.7475653584449582,0.036002917353772076
5,4,58.16685383,112.16685383000001,306.84604387335696,0.9805042305577425,0.9880072562513694,0.007847340444215924
5,5,26.02506057,94.02506057,339.1766332171902,0.9912771871403535,1.0019980075609052,NA
5,6,15.20305799,97.20305799,392.8270132410235,0.9949043949625234,1.0060173861373738,NA
6,1,2886.966768,2898.966768,2942.228810231857,0,0,0.07046524330475817
6,2,1640.827244,1666.827244,1760.5616688356904,0.4316431826692921,0.3591645390798454,0.05640897699186298
6,3,623.2662566,663.2662566,807.4730640395237,0.7841103460183647,0.7281981672734347,0.0367367849686749
6,4,56.10233924,110.10233923999999,304.781529283357,0.9805670297760767,0.9887529761279986,0.007472979042108883
6,5,35.49663328,103.49663328,348.64820592719025,0.987704523074718,0.9954878464061319,0.004733331191302229
6,6,23.08430286,105.08430286000001,400.7082581110235,0.9920039596174527,0.9990072921812936,0.0022201671734047765
7,1,2764.381191,2776.381191,2819.6432332318573,0,0,0.06892217777912184
7,2,1544.462401,1570.462401,1664.1968258356903,0.441299048760602,0.3707250597723459,0.054673793762390746
7,3,540.8366069,580.8366069,725.0434143395237,0.8043552717473255,0.7562504510912691,0.03402756733097562
7,4,28.66386582,82.66386582,277.34305586335694,0.9896310009946092,1.0042903252130189,NA
7,5,21.94066489,89.94066489,335.0922375371902,0.9920630827031264,1.0051249690725133,NA
7,6,16.89957149,98.89957149,394.5235267410235,0.9938866710766879,1.0048810070181546,NA
8,1,2932.861335,2944.861335,2988.1233772318574,0,0,0.07103432515828502
8,2,1626.456112,1652.456112,1746.1905368356904,0.4454370915561884,0.3750881011514417,0.05615360671189942
8,3,577.8233961,617.8233961,762.0302035395237,0.8029830496231081,0.7534818751379604,0.035268962697255726
8,4,35.47108544,89.47108544,284.15027548335695,0.9879056384232363,1.000291199037708,NA
8,5,24.52312629,92.52312629,337.6746989371902,0.9916384978732722,1.0030597346114682,NA
8,6,18.84232735,100.84232735,396.4662826010235,0.9935754455469339,1.0028447973744186,NA
9,1,2705.086876,2717.086876,2760.348918231857,0,0,0.06816326776373056
9,2,1535.29563,1561.29563,1655.0300548356904,0.43244128548276606,0.3605810166025685,0.05450585609670656
9,3,567.4549989,607.4549989,751.6618063395237,0.7902267006895196,0.7374679072879726,0.034925417200316965
9,4,45.91019378,99.91019378,294.58938382335697,0.9830281998750859,0.9940745372465392,0.005247005733032107
9,5,30.13492437,98.13492437,343.28649701719024,0.9888599051522661,0.9991576132047955,0.001978363895423463
9,6,18.43612515,100.43612515,396.0600804010235,0.9931846458191164,1.003486923269555,NA
10,1,2611.119879,2623.119879,2666.381921231857,0,0,0.06694296232197598
