Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
1,1,27225.83817,27237.83817,27294.91572278982,0,0,0.06903991962587387
1,2,15490.39856,15516.39856,15640.066591044613,0.4310405261620638,0.35212340519454755,0.055570771032134605
1,3,5773.409843,5813.409843,6003.668352299405,0.7879437243786422,0.7204103970852778,0.036505708848456164
1,4,105.6966918,159.6966918,416.5456793541962,0.9961177800609838,0.9959382475371416,0.004400043837341211
1,5,32.38704595,100.38704595,423.8265117589878,0.9988104297929131,0.9997549657011311,0.0010807213141675028
1,6,19.47008868,101.47008868,491.5000327437794,0.9992848672441809,1.0002412606014717,NA
2,1,27010.97808,27022.97808,27080.055632789823,0,0,0.06876638257436733
2,2,15225.83249,15251.83249,15375.500521044614,0.4363094722114557,0.3581485824744723,0.05509262064894444
2,3,5505.889002,5545.889002,5736.147511299405,0.7961610651160841,0.7313382089866648,0.035643400613728914
2,4,123.4685254,177.4685254,434.3175129541962,0.9954289502203765,0.9948619149473118,0.00492920435584354
2,5,30.38203563,98.38203563,421.8215014389878,0.998875196761109,0.9998992202616288,6.903396092015785e-4
2,6,21.44050272,103.44050272,493.4704467837794,0.9992062300500004,1.0000537808031449,NA
3,1,27264.23293,27276.23293,27333.31048278982,0,0,0.06908868570261012
3,2,15386.6258,15412.6258,15536.293831044613,0.4356479480092235,0.35738582982756856,0.05538371451571604
3,3,5859.99803,5899.99803,6090.256539299405,0.7850664625318693,0.7165862333303867,0.036780480795831905
3,4,110.6795925,164.6795925,421.5285800541962,0.9959404839012281,0.9956539980221722,0.004554617294064009
3,5,28.90149819,96.90149819,420.3409639989878,0.9989399482367906,1.0000071160123618,NA
3,6,18.2435365,100.2435365,490.2734805637794,0.9993308619190997,1.0003577230899172,NA
4,1,27331.02285,27343.02285,27400.100402789823,0,0,0.0691734352126239
4,2,15418.83342,15444.83342,15568.501451044614,0.4358486506479211,0.3576132793039733,0.055441838190794325
4,3,5786.020123,5826.020123,6016.278632299405,0.788298441856522,0.7208757699576838,0.03654585381559159
4,4,111.6013661,165.6013661,422.4503536541962,0.9959166780287552,0.9956111291814194,0.00458264001184001
4,5,27.05164021,95.05164021,418.4911060189878,0.9990102221801772,1.0001404096044326,NA
4,6,16.14809643,98.14809643,488.1780404937794,0.9994091660411458,1.000555904431188,NA
5,1,27269.93826,27281.93826,27339.01581278982,0,0,0.0690959292376274
5,2,15485.33699,15511.33699,15635.005021044613,0.4321462394832719,0.35338536395885684,0.05556166186303907
5,3,5997.1581,6037.1581,6227.416609299405,0.7800817133203146,0.7099643880085156,0.03721158122480595
5,4,68.45149895,122.45149895,379.3004865041962,0.9974898550082013,0.9981118709228216,0.003002398276019184
5,5,20.79313038,88.79313038000001,412.23259618898777,0.9992375072439933,1.000592760090136,NA
5,6,15.89651218,97.89651218,487.9264562437794,0.99941706827392,1.000581105278967,NA
6,1,26672.4111,26684.4111,26741.488652789823,0,0,0.06833313297801938
6,2,14977.92519,15003.92519,15127.593221044614,0.438448772634582,0.3606022220487138,0.054640780504573154
6,3,5530.860427,5570.860427,5761.118936299405,0.7926374032604799,0.7266769370959547,0.0357247725468472
6,4,105.435288,159.435288,416.2842755541962,0.9960470282343541,0.995869340301116,0.0043917847030255
6,5,29.95685613,97.95685613,421.3963219389878,0.998876859837767,0.9999293372845541,5.744159548550717e-4
6,6,16.70621106,98.70621106,488.7361551237794,0.999373652010785,1.0005153302287335,NA
7,1,27296.40256,27308.40256,27365.48011278982,0,0,0.06912951861028252
7,2,15455.77698,15481.77698,15605.445011044614,0.43377970976113855,0.355250699110781,0.05550843366428275
7,3,5702.637559,5742.637559,5932.896068299405,0.7910846476393701,0.7245787518245809,0.03627958025173697
7,4,102.250645,156.25064500000002,413.0996325541962,0.9962540615095618,0.9961490765316061,0.004289888224167875
7,5,20.73939083,88.73939083,412.1788566389878,0.9992402152340619,1.0005960618891023,NA
7,6,17.02996993,99.02996993,489.0599139937794,0.9993761093648671,1.0004727304889338,NA
8,1,27757.94816,27769.94816,27827.025712789822,0,0,0.06971272527528471
8,2,15589.82246,15615.82246,15739.490491044613,0.4383654595023208,0.36047685075340036,0.055749399745250346
8,3,5825.650121,5865.650121,6055.908630299405,0.7901267742334454,0.7232811898013637,0.036671730282043534
8,4,85.8610856,139.8610856,396.71007315419615,0.9969067927821939,0.9971500355002048,0.0037216179357849395
8,5,18.31453438,86.31453438,409.7540001889878,0.999340205757485,1.0007581858493422,NA
8,6,13.0950255,95.0950255,485.1249695637794,0.9995282423101117,1.0008328949338883,NA
9,1,26987.48421,26999.48421,27056.56176278982,0,0,0.06873640665300722
9,2,15269.02241,15295.02241,15418.690441044613,0.43421838467098817,0.3557603564752243,0.055170960843084864
9,3,5491.751646,5531.751646,5722.010155299405,0.7965074623752786,0.7317997049926064,0.035597250135699636
9,4,113.824357,167.82435700000002,424.6733445541962,0.9957823279815825,0.9954244454862947,0.00464952611836687
9,5,31.71029223,99.71029223,423.1497580389878,0.9988250000636129,0.9998021897391187,9.667434372753415e-4
9,6,19.93638756,101.93638756,491.9663316237794,0.9992612728402223,1.0001985345747673,NA
10,1,27046.91984,27058.91984,27115.99739278982,0,0,0.068812215538743
10,2,14988.64738,15014.64738,15138.315411044614,0.4458279364649457,0.36902154159195155,0.05466040023265047
10,3,5724.572542,5764.572542,5954.831051299405,0.7883466000615027,0.7209555677583664,0.03634981641069912
10,4,126.6006514,180.6006514,437.4496389541962,0.9953192211109833,0.9946850145449215,0.005016682098967796
10,5,24.53999186,92.53999186,415.9794576689878,0.9990926881136495,1.0003247961812347,NA
10,6,17.43473453,99.43473453,489.4646785937794,0.9993553892778498,1.0004382446438802,NA
11,1,27429.03561,27441.03561,27498.11316278982,0,0,0.0692976156308544
11,2,15556.4707,15582.4707,15706.138731044613,0.43284660382560203,0.35418114860475297,0.05568954258432666
11,3,6065.546761,6105.546761,6295.805270299405,0.7788640166849818,0.708338245180297,0.03742467469548347
11,4,126.6412849,180.64128490000002,437.4902724541962,0.9953829479570244,0.9947568617181727,0.00501780693912283
11,5,21.48952009,89.48952009,412.9289858989878,0.9992165411720796,1.0005393087297003,NA
11,6,14.63492367,96.63492367,486.6648677337794,0.9994664441040477,1.0006971437378835,NA
12,1,26372.84703,26384.84703,26441.924582789823,0,0,0.06794749029239729
12,2,14598.59593,14624.59593,14748.263961044613,0.4464535469608721,0.36975620274381876,0.053942082676541464
12,3,5542.350443,5582.350443,5772.608952299405,0.7898463356384925,0.722986813784341,0.03576215173880605
12,4,150.4863348,204.4863348,461.3353223541962,0.9942938911893427,0.9931117539217584,0.005639333088889461
12,5,35.4335125,103.4335125,426.8729783089878,0.9986564396153478,0.99951948422078285,0.001489454521277708
12,6,21.89016356,103.89016356,493.9201076237794,0.9991699734376384,1.000010813873123,NA
13,1,26840.73421,26852.73421,26909.81176278982,0,0,0.0685488710926283
13,2,15127.88971,15153.88971,15277.557741044613,0.4363831633054273,0.35823757304975135,0.05491455269854231
13,3,6002.432757,6042.432757,6232.691266299405,0.7763685333628585,0.7050555711323411,0.03722806003454521
13,4,112.7025863,166.7025863,423.5515738541962,0.9958010617214036,0.9954656897096775,0.004615895041819364
13,5,22.08772551,90.08772551,413.5271913189878,0.9991770819182074,1.0005072554327459,NA
13,6,16.90077138,98.90077138,488.9307154437794,0.9993703312566725,1.0004932709414076,NA
14,1,26719.23879,26731.23879,26788.31634278982,0,0,0.06839321990487704
14,2,15077.78829,15103.78829,15227.456321044614,0.4356954399597998,0.35745535903663694,0.05482324063640473
14,3,5713.513424,5753.513424,5943.771933299405,0.7861648129684611,0.7180759216758095,0.03631442192112409
14,4,103.962804,157.962804,414.8117915541962,0.9961090656505189,0.9959640383597359,0.004344967831195211
14,5,22.22656359,90.22656359,413.6660293989878,0.9991681438320646,1.0004993318885222,NA
14,6,13.69461787,95.69461787,485.7245619337794,0.999487462274744,1.000807077388871,NA
15,1,27309.77798,27321.77798,27378.85553278982,0,0,0.0691464889323208
15,2,15190.57331,15216.57331,15340.241341044613,0.4437679676076224,0.36666076441576767,0.05502858296784894
15,3,5840.993741,5880.993741,6071.252250299405,0.7861207899501204,0.7179842495668178,0.03672035023366571
15,4,113.7987589,167.7987589,424.6477464541962,0.9958330397638773,0.9954800435996385,0.00464876139105201
15,5,35.84593751,103.84593751,427.2854033189878,0.9986874321154771,0.999506259207073,0.0015364542667498078
15,6,29.22155611,111.22155611,501.2515001737794,0.9989299965700418,0.999313449976012,0.0018117831907070881
16,1,27551.34849,27563.34849,27620.426042789823,0,0,0.06945227243732045
16,2,15518.83881,15544.83881,15668.506841044613,0.4367303358805579,0.3586145076391298,0.05562192643182183
16,3,5803.962169,5843.962169,6034.220678299405,0.7893401779914112,0.7222474912139704,0.03660289662955522
16,4,101.644585,155.644585,412.4935725541962,0.9963107219584229,0.9962196863976923,0.004270221222880305
