Simulation_number,Number_of_classes,BLRT_p_value
131,4,0
131,5,0.012
131,6,0.192
132,1,0
132,2,0
132,3,0
132,4,0
132,5,0.022
132,6,0.96
133,1,0
133,2,0
133,3,0
133,4,0
133,5,0
133,6,0.284
134,1,0
134,2,0
134,3,0
134,4,0
134,5,0.37
134,6,0.9340000000000001
135,1,0
135,2,0
135,3,0
135,4,0
135,5,0.384
135,6,0.508
136,1,0
136,2,0
136,3,0
136,4,0
136,5,0.092
136,6,0.138
137,1,0
137,2,0
137,3,0
137,4,0
137,5,0.274
137,6,0.5560000000000001
138,1,0
138,2,0
138,3,0
138,4,0
138,5,0.02
138,6,0.94
139,1,0
139,2,0
139,3,0
139,4,0
139,5,0.002
139,6,0.404
140,1,0
140,2,0
140,3,0
140,4,0
140,5,0.064
140,6,0.088
141,1,0
141,2,0
141,3,0
141,4,0
141,5,0.054
141,6,0.38
142,1,0
142,2,0
142,3,0
142,4,0
142,5,0.598
142,6,0.884
143,1,0
143,2,0
143,3,0
143,4,0
143,5,0.15
143,6,0.736
144,1,0
144,2,0
144,3,0
144,4,0
144,5,0.074
144,6,0.874
145,1,0
145,2,0
145,3,0
145,4,0
145,5,0.766
145,6,0.644
146,1,0
146,2,0
146,3,0
146,4,0
146,5,0.064
146,6,0.702
147,1,0
147,2,0
147,3,0
147,4,0
147,5,0
147,6,0.962
148,1,0
148,2,0
148,3,0
148,4,0
148,5,0.014
148,6,0.638
149,1,0
149,2,0
149,3,0
149,4,0
149,5,0.86
149,6,0.972
150,1,0
150,2,0
150,3,0
150,4,0
150,5,0.006
150,6,0.382
151,1,0
151,2,0
151,3,0
151,4,0
151,5,0.046
151,6,0.714
152,1,0
152,2,0
152,3,0
152,4,0
152,5,0.078
152,6,0.45
153,1,0
153,2,0
153,3,0
153,4,0
153,5,0.444
153,6,0.824
154,1,0
154,2,0
154,3,0
154,4,0
154,5,0
154,6,0.008
155,1,0
155,2,0
155,3,0
155,4,0
155,5,0.062
155,6,0.54
156,1,0
156,2,0
156,3,0
156,4,0
156,5,0.092
156,6,0.906
157,1,0
157,2,0
157,3,0
157,4,0
157,5,0.012
157,6,0.564
158,1,0
158,2,0
158,3,0
158,4,0
158,5,0.048
158,6,0.354
159,1,0
159,2,0
159,3,0
159,4,0
159,5,0.024
159,6,0.48
160,1,0
160,2,0
160,3,0
160,4,0
160,5,0.038
160,6,0.62
161,1,0
161,2,0
161,3,0
161,4,0
161,5,0.73
161,6,0.786
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0.388
162,6,0.724
163,1,0
163,2,0
163,3,0
163,4,0
163,5,0.674
163,6,0.858
164,1,0
164,2,0
164,3,0
164,4,0
164,5,0.154
