Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI
1,1,8155.252898,8167.252898,8217.106613963866,0
1,2,4687.981583,4713.981583,4821.997967588376,0.42515803720204876
1,3,1799.414273,1839.414273,2005.593326212886,0.7793551842590571
1,4,62.26976138,116.26976138,340.61148321739586,0.9923644597955668
1,5,38.36169304,106.36169304,388.8660835019059,0.995296075606753
1,6,27.03694557,109.03694557,449.704004656416,0.9966847201542173
2,1,8347.829681,8359.829681,8409.683396963865,0
2,2,4677.526504,4703.526504,4811.542888588377,0.43967154545016157
2,3,1688.735062,1728.735062,1894.914115212886,0.7977036994605161
2,4,51.9267247,105.9267247,330.2684465373959,0.9937796137817488
2,5,19.19449982,87.19449982,369.6988902819059,0.9977006598656789
2,6,16.7289748,98.7289748,439.396033886416,0.9979960090898744
3,1,8202.859576,8214.859576,8264.713291963866,0
3,2,4616.664585,4642.664585,4750.680969588377,0.4371883923860554
3,3,1786.404265,1826.404265,1992.5833182128858,0.7822217668791165
3,4,63.64950082,117.64950082,341.9912226573959,0.9922405716896305
3,5,21.76031034,89.76031034,372.2647008019059,0.9973472287147684
3,6,13.97528647,95.97528647,436.642345556416,0.9982962909043465
4,1,8421.812779,8433.812779,8483.666494963865,0
4,2,4839.921465,4865.921465,4973.937849588377,0.42531120175593723
4,3,1852.863455,1892.863455,2059.042508212886,0.7799923242629947
4,4,56.02122899,110.02122899,334.3629508273959,0.993348079509712
4,5,24.75656348,92.75656348,375.26095394190594,0.997060423434996
4,6,20.15911006,102.15911006,442.82616914641596,0.9976063217517412
5,1,8459.26629,8471.26629,8521.120005963865,0
5,2,4768.568922,4794.568922,4902.585306588377,0.4362904821146137
5,3,1791.335384,1831.335384,1997.514437212886,0.7882398635307649
5,4,65.37150136,119.37150136,343.7132231973959,0.9922722019713132
5,5,38.27862583,106.27862583000001,388.78301629190594,0.9954749472923851
5,6,25.9226384,107.9226384,448.58969748641596,0.9969355925784434
6,1,8207.731001,8219.731001,8269.584716963866,0
6,2,4757.955754,4783.955754,4891.972138588376,0.420308029902502
6,3,1681.685614,1721.685614,1887.864667212886,0.7951095602676173
6,4,70.20302938,124.20302938,348.54475121739586,0.9914467190297237
6,5,36.27708187,104.27708187,386.78147233190595,0.9955801326986008
6,6,26.09906809,108.09906809,448.766127176416,0.9968201847639963
7,1,8187.528002,8199.528002,8249.381717963866,0
7,2,4635.456953,4661.456953,4769.473337588376,0.4338392550391671
7,3,1645.805277,1685.805277,1851.9843302128859,0.7989863025081596
7,4,52.69870095,106.69870095,331.04042278739587,0.993563539454506
7,5,29.47135249,97.47135249,379.97574295190594,0.9964004578081687
7,6,19.1623047,101.16230469999999,441.82936378641597,0.9976595738426397
8,1,8364.726526,8376.726526,8426.580241963866,0
8,2,4625.136028,4651.136028,4759.152412588376,0.4470666777181856
8,3,1763.305075,1803.305075,1969.484128212886,0.7891975225347612
8,4,41.28534986,95.28534986,319.6270716973959,0.9950643515084835
8,5,19.42468649,87.42468649,369.9290769519059,0.9976777858272328
8,6,17.32735321,99.32735321,439.994412296416,0.9979285212545633
9,1,8176.992212,8188.992212,8238.845927963866,0
9,2,4698.391369,4724.391369,4832.407753588376,0.42541325132914287
9,3,1609.042548,1649.042548,1815.2216012128858,0.8032231771434638
9,4,66.73318562,120.73318562,345.07490745739585,0.9918389080128918
9,5,35.12663611,103.12663610999999,385.6310265719059,0.9957042106438049
9,6,21.78257031,103.78257031,444.44962939641596,0.9973361145828128
10,1,7752.224534,7764.224534,7814.078249963865,0
10,2,4191.52983,4217.52983,4325.546214588377,0.459312638376684
10,3,1723.599802,1763.599802,1929.778855212886,0.7776638441726539
10,4,47.07835778,101.07835778,325.42007961739586,0.9939271163298325
10,5,15.5310329,83.5310329,366.03542336190594,0.9979965708124314
