Simulation_number,Number_of_classes,BLRT_p_value
129,4,0
129,5,0.324
129,6,0.396
130,1,0
130,2,0
130,3,0
130,4,0
130,5,0.054
130,6,0.388
131,1,0
131,2,0
131,3,0
131,4,0
131,5,0.174
131,6,0.574
132,1,0
132,2,0
132,3,0
132,4,0
132,5,0.694
132,6,0.922
133,1,0
133,2,0
133,3,0
133,4,0.164
133,5,0.1
133,6,0.92
134,1,0
134,2,0
134,3,0
134,4,0.002
134,5,0.436
134,6,0.59
135,1,0
135,2,0
135,3,0
135,4,0
135,5,0.02
135,6,0.87
136,1,0
136,2,0
136,3,0
136,4,0
136,5,0.6820000000000001
136,6,0.5540000000000001
137,1,0
137,2,0
137,3,0
137,4,0
137,5,0.034
137,6,0.992
138,1,0
138,2,0
138,3,0
138,4,0
138,5,0.014
138,6,0.37
139,1,0
139,2,0
139,3,0
139,4,0
139,5,0.892
139,6,0.95
140,1,0
140,2,0
140,3,0
140,4,0
140,5,0.312
140,6,0.612
141,1,0
141,2,0
141,3,0
141,4,0.002
141,5,0.174
141,6,0.752
142,1,0
142,2,0
142,3,0
142,4,0.002
142,5,0.044
142,6,0.34
143,1,0
143,2,0
143,3,0
143,4,0
143,5,0.752
143,6,0.8080000000000001
144,1,0
144,2,0
144,3,0
144,4,0
144,5,0.204
144,6,0.5600000000000001
145,1,0
145,2,0
145,3,0
145,4,0.004
145,5,0.478
145,6,0.436
146,1,0
146,2,0
146,3,0
146,4,0
146,5,0.7
146,6,0.724
147,1,0
147,2,0
147,3,0
147,4,0.004
147,5,0.114
147,6,0.356
148,1,0
148,2,0
148,3,0
148,4,0
148,5,0.58
148,6,0.894
149,1,0
149,2,0
149,3,0
149,4,0.002
149,5,0.02
149,6,0.372
150,1,0
150,2,0
150,3,0
150,4,0
150,5,0.586
150,6,0.958
151,1,0
151,2,0
151,3,0
151,4,0
151,5,0.028
151,6,0.292
152,1,0
152,2,0
152,3,0
152,4,0
152,5,0.044
152,6,0.9280000000000001
153,1,0
153,2,0
153,3,0
153,4,0
153,5,0.5540000000000001
153,6,0.868
154,1,0
154,2,0
154,3,0
154,4,0
154,5,0.922
154,6,0.978
155,1,0
155,2,0
155,3,0
155,4,0
155,5,0.092
155,6,0.738
156,1,0
156,2,0
156,3,0
156,4,0
156,5,0.44
156,6,0.468
157,1,0
157,2,0
157,3,0
157,4,0
157,5,0.724
157,6,0.454
158,1,0
158,2,0
158,3,0
158,4,0
158,5,0.21
158,6,0.486
159,1,0
159,2,0
159,3,0
159,4,0.006
159,5,0.162
159,6,0.964
160,1,0
160,2,0
160,3,0
160,4,0
160,5,0.208
160,6,0.49
161,1,0
161,2,0
161,3,0
161,4,0
161,5,0.836
161,6,0.95
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0.732
162,6,0.82
163,1,0
163,2,0
163,3,0
163,4,0
163,5,0.586
163,6,0.706
164,1,0
164,2,0
164,3,0
164,4,0.004
164,5,0.624
164,6,0.846
165,1,0
165,2,0
165,3,0
165,4,0
165,5,0.472
165,6,0.834
166,1,0
166,2,0
166,3,0
166,4,0
166,5,0.784
166,6,0.778
167,1,0
167,2,0
167,3,0
167,4,0
167,5,0.974
167,6,0.99
168,1,0
168,2,0
168,3,0
168,4,0
168,5,0.286
168,6,0.944
169,1,0
169,2,0
169,3,0
169,4,0.008
169,5,0.616
169,6,0.266
170,1,0
170,2,0
170,3,0
170,4,0.002
170,5,0.128
170,6,0.38
171,1,0
171,2,0
171,3,0
171,4,0
171,5,0.18
171,6,0.838
172,1,0
172,2,0
172,3,0
172,4,0.04
172,5,0.356
172,6,0.57
173,1,0
173,2,0
173,3,0
173,4,0
173,5,0.85
173,6,0.9360000000000001
174,1,0
174,2,0
174,3,0
174,4,0
174,5,0.14
174,6,0.5580000000000001
175,1,0
175,2,0
175,3,0
175,4,0
175,5,0.08
175,6,0.302
176,1,0
176,2,0
176,3,0
176,4,0
176,5,0.654
176,6,0.47
177,1,0
177,2,0
177,3,0
177,4,0
177,5,0.368
177,6,0.79
178,1,0
178,2,0
178,3,0
178,4,0.002
178,5,0.398
178,6,0.996
179,1,0
179,2,0
179,3,0
179,4,0
179,5,0.196
179,6,0.542
180,1,0
180,2,0
180,3,0
180,4,0.232
180,5,0.574
180,6,0.986
181,1,0
181,2,0
181,3,0
181,4,0.002
181,5,0.866
181,6,0.096
182,1,0
182,2,0
182,3,0
182,4,0
182,5,0.498
182,6,0.62
183,1,0
183,2,0
183,3,0
183,4,0
183,5,0.856
183,6,0.96
184,1,0
184,2,0
184,3,0
184,4,0
184,5,0.248
184,6,0.198
185,1,0
185,2,0
185,3,0
185,4,0
185,5,0.32
185,6,0.784
186,1,0
186,2,0
186,3,0
186,4,0
186,5,0.834
186,6,0.968
187,1,0
187,2,0
187,3,0
187,4,0
187,5,0.288
187,6,0.418
188,1,0
188,2,0
188,3,0
188,4,0
188,5,0.794
188,6,0.948
189,1,0
189,2,0
189,3,0
189,4,0.002
189,5,0.468
189,6,0.632
190,1,0
190,2,0
190,3,0
190,4,0
190,5,0.628
190,6,0.736
191,1,0
191,2,0
191,3,0
191,4,0
191,5,0.828
191,6,0.734
192,1,0
192,2,0
192,3,0
192,4,0
192,5,0.186
192,6,0.946
193,1,0
193,2,0
193,3,0
193,4,0
193,5,0.542
193,6,0.626
194,1,0
194,2,0
194,3,0
194,4,0.002
194,5,0.11
194,6,0.916
195,1,0
195,2,0
195,3,0
195,4,0
195,5,0.744
195,6,0.904
196,1,0
196,2,0
196,3,0
196,4,0
196,5,0.438
196,6,0.498
197,1,0
197,2,0
197,3,0
197,4,0
197,5,0.026
197,6,0.884
198,1,0
198,2,0
198,3,0
198,4,0
198,5,0.97
198,6,0.9300000000000001
199,1,0
199,2,0
199,3,0
199,4,0
199,5,0.52
199,6,0.432
200,1,0
200,2,0
200,3,0
200,4,0.01
200,5,0.5620000000000001
200,6,0.632
201,1,0
201,2,0
201,3,0
201,4,0
201,5,0.858
201,6,0.954
202,1,0
202,2,0
202,3,0
202,4,0
202,5,0.784
202,6,0.736
203,1,0
203,2,0
203,3,0
203,4,0.03
203,5,0.394
203,6,0.9280000000000001
204,1,0
204,2,0
204,3,0
204,4,0
204,5,0.886
204,6,0.9379999999999999
205,1,0
205,2,0
205,3,0
205,4,0.002
205,5,0.11
205,6,0.624
206,1,0
206,2,0
206,3,0
206,4,0
206,5,0.18
206,6,0.502
207,1,0
207,2,0
207,3,0
207,4,0
207,5,0.368
207,6,0.306
208,1,0
208,2,0
208,3,0
208,4,0.01
208,5,0.724
208,6,0.866
209,1,0
209,2,0
209,3,0
209,4,0.012
209,5,0.744
209,6,0.448
210,1,0
210,2,0
210,3,0
210,4,0
210,5,0.898
210,6,0.992
211,1,0
211,2,0
211,3,0
211,4,0
211,5,0.9340000000000001
211,6,0.922
212,1,0
212,2,0
212,3,0
212,4,0
212,5,0.312
212,6,0.58
213,1,0
213,2,0
213,3,0
213,4,0
213,5,0.242
213,6,0.606
214,1,0
214,2,0
214,3,0
214,4,0.016
214,5,0.632
214,6,0.664
215,1,0
215,2,0
215,3,0
215,4,0
215,5,0.784
215,6,0.376
216,1,0
216,2,0
216,3,0
216,4,0.02
216,5,0.188
216,6,0.832
217,1,0
217,2,0
217,3,0
217,4,0
217,5,0.242
217,6,0.236
218,1,0
218,2,0
218,3,0
218,4,0
218,5,0.986
218,6,0.856
219,1,0
219,2,0
219,3,0
219,4,0
219,5,0.518
219,6,0.848
220,1,0
220,2,0
220,3,0
220,4,0
220,5,0.796
220,6,0.916
221,1,0
221,2,0
221,3,0
221,4,0
221,5,0.08
221,6,0.302
222,1,0
222,2,0
222,3,0
222,4,0
222,5,0.826
222,6,0.6780000000000001
223,1,0
223,2,0
223,3,0
223,4,0.018
223,5,0.5520000000000001
223,6,0.492
224,1,0
224,2,0
224,3,0
224,4,0
224,5,0.496
224,6,0.6
225,1,0
225,2,0
225,3,0
225,4,0.006
225,5,0.024
225,6,0.318
226,1,0
226,2,0
226,3,0
226,4,0
226,5,0.584
226,6,0.732
227,1,0
227,2,0
227,3,0
227,4,0
227,5,0.77
227,6,0.9300000000000001
228,1,0
228,2,0
228,3,0
228,4,0.168
228,5,0.654
228,6,0.398
229,1,0
229,2,0
229,3,0
229,4,0.006
229,5,0.39
229,6,0.922
230,1,0
230,2,0
230,3,0
230,4,0
230,5,0.902
230,6,0.758
231,1,0
231,2,0
231,3,0
231,4,0.004
231,5,0.398
231,6,0.396
232,1,0
232,2,0
232,3,0
232,4,0.004
232,5,0.892
232,6,0.9
233,1,0
233,2,0
233,3,0
233,4,0
233,5,0.728
233,6,0.878
234,1,0
234,2,0
234,3,0
234,4,0
234,5,0.604
234,6,0.982
235,1,0
235,2,0
235,3,0
235,4,0
235,5,0.012
235,6,0.528
236,1,0
236,2,0
236,3,0
236,4,0
236,5,0.342
236,6,0.132
237,1,0
237,2,0
237,3,0
237,4,0
237,5,0.362
237,6,0.758
238,1,0
238,2,0
238,3,0
238,4,0.002
238,5,0.9280000000000001
238,6,1
239,1,0
239,2,0
239,3,0
239,4,0.002
239,5,0.272
239,6,0.974
240,1,0
240,2,0
240,3,0
240,4,0
240,5,0.9360000000000001
240,6,0.874
241,1,0
241,2,0
241,3,0
241,4,0
241,5,0.606
241,6,0.6780000000000001
242,1,0
242,2,0
242,3,0
242,4,0
242,5,0.208
242,6,0.852
243,1,0
243,2,0
243,3,0
243,4,0.006
243,5,0.054
243,6,0.232
244,1,0
244,2,0
244,3,0.002
244,4,0.022
244,5,0.038
244,6,0.08599999999999999
245,1,0
245,2,0
245,3,0
245,4,0.002
245,5,0.516
245,6,0.774
246,1,0
246,2,0
246,3,0
246,4,0.008
246,5,0.034
246,6,0.594
247,1,0
247,2,0
247,3,0
247,4,0.022
247,5,0.694
247,6,0.498
248,1,0
248,2,0
248,3,0
248,4,0
248,5,0.398
248,6,0.578
249,1,0
249,2,0
249,3,0
249,4,0.032
249,5,0.578
249,6,0.736
250,1,0
250,2,0
250,3,0
250,4,0.012
250,5,0.21
250,6,0.85
251,1,0
251,2,0
251,3,0
251,4,0.022
251,5,0.906
251,6,0.728
252,1,0
252,2,0
252,3,0
252,4,0.004
252,5,0.83
252,6,0.95
253,1,0
253,2,0
253,3,0
253,4,0
253,5,0.338
253,6,0.898
254,1,0
254,2,0
254,3,0
254,4,0
254,5,0.896
254,6,0.744
255,1,0
255,2,0
255,3,0
255,4,0
255,5,0.972
255,6,0.942
256,1,0
256,2,0
256,3,0
256,4,0.004
256,5,0.468
256,6,0.548
257,1,0
257,2,0
257,3,0
257,4,0.006
257,5,0.4
257,6,0.196
258,1,0
258,2,0
258,3,0
258,4,0
258,5,0.964
258,6,0.738
259,1,0
259,2,0
259,3,0
259,4,0
259,5,0.762
259,6,0.888
260,1,0
260,2,0
260,3,0
260,4,0
260,5,0.508
260,6,0.546
261,1,0
261,2,0
261,3,0
261,4,0.004
261,5,0.232
261,6,0.366
262,1,0
262,2,0
262,3,0
262,4,0
262,5,0.602
262,6,0.954
263,1,0
263,2,0
263,3,0
263,4,0.308
263,5,0.752
263,6,0.672
264,1,0
264,2,0
264,3,0
264,4,0.002
264,5,0.73
264,6,0.824
265,1,0
265,2,0
265,3,0
265,4,0
265,5,0.9
265,6,0.86
266,1,0
266,2,0
266,3,0
266,4,0
266,5,0.708
266,6,0.916
267,1,0
267,2,0
267,3,0
267,4,0.002
267,5,0.67
267,6,0.968
268,1,0
268,2,0
268,3,0
268,4,0
268,5,0.386
268,6,0.846
269,1,0
269,2,0
269,3,0
269,4,0
269,5,0.64
269,6,0.846
270,1,0
270,2,0
270,3,0
270,4,0
270,5,0.818
270,6,0.988
271,1,0
271,2,0
271,3,0
271,4,0
271,5,0.262
271,6,0.756
272,1,0
272,2,0
272,3,0
272,4,0.004
272,5,0.524
272,6,0.864
273,1,0
273,2,0
273,3,0
273,4,0
273,5,0.006
273,6,0.7
274,1,0
274,2,0
274,3,0
274,4,0
274,5,0.094
274,6,0.524
275,1,0
275,2,0
275,3,0
275,4,0
275,5,0.15
275,6,0.97
276,1,0
276,2,0
276,3,0
276,4,0.002
276,5,0.264
276,6,0.454
277,1,0
277,2,0
277,3,0
277,4,0
277,5,0.716
277,6,0.92
278,1,0
278,2,0
278,3,0
278,4,0.076
278,5,0.536
278,6,0.496
279,1,0
279,2,0
279,3,0
279,4,0.002
279,5,0.884
279,6,0.852
280,1,0
280,2,0
280,3,0
280,4,0
280,5,0.882
280,6,0.994
281,1,0
281,2,0
281,3,0
281,4,0
281,5,0.72
281,6,0.814
282,1,0
282,2,0
282,3,0
282,4,0
282,5,0.672
282,6,0.914
283,1,0
283,2,0
283,3,0
283,4,0
283,5,0.44
283,6,0.8120000000000001
284,1,0
284,2,0
284,3,0
284,4,0.002
284,5,0.672
284,6,0.378
285,1,0
285,2,0
285,3,0
285,4,0
285,5,0.534
285,6,0.224
286,1,0
286,2,0
286,3,0
286,4,0
286,5,0.74
286,6,0.776
287,1,0
287,2,0
287,3,0
287,4,0
287,5,0.12
287,6,0.348
288,1,0
288,2,0
288,3,0
288,4,0
288,5,0.292
288,6,0.664
289,1,0
289,2,0
289,3,0
289,4,0
289,5,0.422
289,6,0.364
290,1,0
290,2,0
290,3,0
290,4,0
290,5,0.604
290,6,0.58
291,1,0
291,2,0
291,3,0
291,4,0
291,5,0.192
291,6,0.044
292,1,0
292,2,0
292,3,0
292,4,0
292,5,0.654
292,6,0.878
293,1,0
293,2,0
293,3,0
293,4,0.054
293,5,0.9379999999999999
293,6,0.88
294,1,0
294,2,0
294,3,0
294,4,0.036
294,5,0.906
294,6,0.788
295,1,0
295,2,0
295,3,0
295,4,0.024
295,5,0.514
295,6,0.842
296,1,0
296,2,0
296,3,0
296,4,0.034
296,5,0.706
296,6,0.348
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0.012
297,6,0.152
298,1,0
298,2,0
298,3,0
298,4,0.006
298,5,0.486
298,6,0.764
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0.584
299,6,0.712
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0.034
300,6,0.7
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0.8080000000000001
301,6,0.8080000000000001
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0.704
302,6,0.764
303,1,0
303,2,0
303,3,0
303,4,0
303,5,0.376
303,6,0.922
304,1,0
304,2,0
304,3,0
304,4,0
304,5,0.63
304,6,0.896
305,1,0
305,2,0
305,3,0
305,4,0
305,5,0.15
305,6,0.79
306,1,0
306,2,0
306,3,0
306,4,0
306,5,0.586
306,6,0.8120000000000001
307,1,0
307,2,0
307,3,0
307,4,0.002
307,5,0.432
307,6,0.586
308,1,0
308,2,0
308,3,0
308,4,0
308,5,0.706
308,6,0.72
309,1,0
309,2,0
309,3,0
309,4,0
309,5,0.7
309,6,0.766
310,1,0
310,2,0
310,3,0
310,4,0.004
310,5,0.58
310,6,0.516
311,1,0
311,2,0
311,3,0
311,4,0
311,5,0.216
311,6,0.63
312,1,0
312,2,0
312,3,0
312,4,0.002
312,5,0.062
312,6,0.588
313,1,0
313,2,0
313,3,0
313,4,0
313,5,0.722
313,6,0.564
314,1,0
314,2,0
314,3,0
314,4,0.004
314,5,0.158
314,6,0.954
315,1,0
315,2,0
315,3,0
315,4,0
315,5,0.184
315,6,0.824
316,1,0
316,2,0
316,3,0
316,4,0
316,5,0.532
316,6,0.642
317,1,0
317,2,0
317,3,0
317,4,0.002
317,5,0.522
317,6,0.744
318,1,0
318,2,0
318,3,0
318,4,0
318,5,0.26
318,6,0.534
319,1,0
319,2,0
319,3,0
319,4,0
319,5,0.746
319,6,0.94
320,1,0
320,2,0
320,3,0
320,4,0
320,5,0.066
320,6,0.15
321,1,0
321,2,0
321,3,0
321,4,0
321,5,0.84
321,6,0.786
322,1,0
322,2,0
322,3,0
322,4,0.006
322,5,0.576
322,6,0.96
323,1,0
323,2,0
323,3,0
323,4,0
323,5,0.618
323,6,0.64
324,1,0
324,2,0
324,3,0
324,4,0.002
324,5,0.48
324,6,0.314
325,1,0
325,2,0
325,3,0
325,4,0.002
325,5,0.03
325,6,0.92
326,1,0
326,2,0
326,3,0
326,4,0.182
326,5,0.504
326,6,0.794
327,1,0
327,2,0
327,3,0
327,4,0
327,5,0.63
327,6,0.994
328,1,0
328,2,0
328,3,0
328,4,0
328,5,0.78
328,6,0.608
329,1,0
329,2,0
329,3,0.006
329,4,0
329,5,0.816
329,6,0.634
330,1,0
330,2,0
330,3,0
330,4,0
330,5,0.462
330,6,0.828
331,1,0
331,2,0
331,3,0
331,4,0
331,5,0.8
331,6,0.542
332,1,0
332,2,0
332,3,0
332,4,0
332,5,0.402
332,6,0.276
333,1,0
333,2,0
333,3,0
333,4,0
333,5,0.37
333,6,0.954
334,1,0
334,2,0
334,3,0
334,4,0
334,5,0.278
334,6,0.884
335,1,0
335,2,0
335,3,0
335,4,0
335,5,0.33
335,6,0.734
336,1,0
336,2,0
336,3,0
336,4,0
336,5,0.354
336,6,0.642
337,1,0
337,2,0
337,3,0
337,4,0
337,5,0.824
337,6,0.828
338,1,0
338,2,0
338,3,0
338,4,0.01
338,5,0.896
338,6,0.924
339,1,0
339,2,0
