Simulation_number,Number_of_classes,BLRT_p_value
131,4,0
131,5,0.298
131,6,0.578
132,1,0
132,2,0
132,3,0
132,4,0
132,5,0.07000000000000001
132,6,0.88
133,1,0
133,2,0
133,3,0
133,4,0
133,5,0.006
133,6,0.722
134,1,0
134,2,0
134,3,0
134,4,0
134,5,0.424
134,6,0.582
135,1,0
135,2,0
135,3,0
135,4,0
135,5,0.458
135,6,0.696
136,1,0
136,2,0
136,3,0
136,4,0
136,5,0.116
136,6,0.204
137,1,0
137,2,0
137,3,0
137,4,0
137,5,0.828
137,6,0.876
138,1,0
138,2,0
138,3,0
138,4,0
138,5,0.838
138,6,0.606
139,1,0
139,2,0
139,3,0
139,4,0
139,5,0.08400000000000001
139,6,0.498
140,1,0
140,2,0
140,3,0
140,4,0
140,5,0.094
140,6,0.314
141,1,0
141,2,0
141,3,0
141,4,0
141,5,0.05
141,6,0.12
142,1,0
142,2,0
142,3,0
142,4,0
142,5,0.638
142,6,0.868
143,1,0
143,2,0
143,3,0
143,4,0
143,5,0.844
143,6,0.754
144,1,0
144,2,0
144,3,0
144,4,0
144,5,0.196
144,6,0.504
145,1,0
145,2,0
145,3,0
145,4,0
145,5,0.922
145,6,0.64
146,1,0
146,2,0
146,3,0
146,4,0
146,5,0.58
146,6,0.714
147,1,0
147,2,0
147,3,0
147,4,0
147,5,0.408
147,6,0.986
148,1,0
148,2,0
148,3,0
148,4,0
148,5,0.102
148,6,0.282
149,1,0
149,2,0
149,3,0
149,4,0
149,5,0.5580000000000001
149,6,0.854
150,1,0
150,2,0
150,3,0
150,4,0
150,5,0.478
150,6,0.206
151,1,0
151,2,0
151,3,0
151,4,0
151,5,0.048
151,6,0.414
152,1,0
152,2,0
152,3,0
152,4,0
152,5,0.246
152,6,0.582
153,1,0
153,2,0
153,3,0
153,4,0
153,5,0.534
153,6,0.112
154,1,0
154,2,0
154,3,0
154,4,0
154,5,0.008
154,6,0.166
155,1,0
155,2,0
155,3,0
155,4,0
155,5,0.388
155,6,0.16
156,1,0
156,2,0
156,3,0
156,4,0
156,5,0.202
156,6,0.95
157,1,0
157,2,0
157,3,0
157,4,0
157,5,0.408
157,6,0.962
158,1,0
158,2,0
158,3,0
158,4,0
158,5,0.34
158,6,0.156
159,1,0
159,2,0
159,3,0
159,4,0
159,5,0.468
159,6,0.818
160,1,0
160,2,0
160,3,0
160,4,0
160,5,0.672
160,6,0.65
161,1,0
161,2,0
161,3,0
161,4,0
161,5,0.716
161,6,0.6760000000000001
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0.308
162,6,0.692
163,1,0
163,2,0
163,3,0
163,4,0
163,5,0.302
163,6,0.408
164,1,0
164,2,0
164,3,0
164,4,0
164,5,0.434
164,6,0.298
165,1,0
165,2,0
165,3,0
165,4,0
165,5,0.206
165,6,0.952
166,1,0
166,2,0
166,3,0
166,4,0
166,5,0.872
166,6,0.414
167,1,0
167,2,0
167,3,0
167,4,0
167,5,0.04
167,6,0.3
168,1,0
168,2,0
168,3,0
168,4,0
168,5,0.836
168,6,0.732
169,1,0
169,2,0
169,3,0
169,4,0
169,5,0.326
169,6,0.264
170,1,0
170,2,0
170,3,0
170,4,0
170,5,0.042
170,6,0.524
171,1,0
171,2,0
171,3,0
171,4,0
171,5,0.544
171,6,0.9260000000000001
172,1,0
172,2,0
172,3,0
172,4,0
172,5,0.842
172,6,0.28
173,1,0
173,2,0
173,3,0
173,4,0
173,5,0.26
173,6,0.912
174,1,0
174,2,0
174,3,0
174,4,0
174,5,0.302
174,6,0.448
175,1,0
175,2,0
175,3,0
175,4,0
175,5,0.332
175,6,0.692
176,1,0
176,2,0
176,3,0
176,4,0
176,5,0.164
176,6,0.454
177,1,0
177,2,0
177,3,0
177,4,0
177,5,0.97
177,6,0.89
178,1,0
178,2,0
178,3,0
178,4,0
178,5,0.29
178,6,0.86
179,1,0
179,2,0
179,3,0
179,4,0
179,5,0.05
179,6,0.142
180,1,0
180,2,0
180,3,0
180,4,0
180,5,0.02
180,6,0.092
181,1,0
181,2,0
181,3,0
181,4,0
181,5,0.898
181,6,0.664
182,1,0
182,2,0
182,3,0
182,4,0
182,5,0.716
182,6,0.692
183,1,0
183,2,0
183,3,0
183,4,0
183,5,0.888
183,6,0.966
184,1,0
184,2,0
184,3,0
184,4,0
184,5,0.414
184,6,0.762
185,1,0
185,2,0
185,3,0
185,4,0
185,5,0.584
185,6,0.616
186,1,0
186,2,0
186,3,0
186,4,0
186,5,0.564
186,6,0.876
187,1,0
187,2,0
187,3,0
187,4,0
187,5,0.298
187,6,0.658
188,1,0
188,2,0
188,3,0
188,4,0
188,5,0.886
188,6,0.71
189,1,0
189,2,0
189,3,0
189,4,0
189,5,0.046
189,6,0.29
190,1,0
190,2,0
190,3,0
190,4,0
190,5,0.418
190,6,0.728
191,1,0
191,2,0
191,3,0
191,4,0
191,5,0.254
191,6,0.826
192,1,0
192,2,0
192,3,0
192,4,0
192,5,0.06
192,6,0.106
193,1,0
193,2,0
193,3,0
193,4,0
193,5,0.102
193,6,0.144
194,1,0
194,2,0
194,3,0
194,4,0
194,5,0.184
194,6,0.336
195,1,0
195,2,0
195,3,0
195,4,0
195,5,0.22
195,6,0.726
196,1,0
196,2,0
196,3,0
196,4,0
196,5,0.01
196,6,0.232
197,1,0
197,2,0
197,3,0
197,4,0
197,5,0.61
197,6,0.944
198,1,0
198,2,0
198,3,0
198,4,0
198,5,0.37
198,6,0.672
199,1,0
199,2,0
199,3,0
199,4,0
199,5,0.526
199,6,0.882
200,1,0
200,2,0
200,3,0
200,4,0
200,5,1
200,6,0.974
201,1,0
201,2,0
201,3,0
201,4,0
201,5,0.1
201,6,0.9280000000000001
202,1,0
202,2,0
202,3,0
202,4,0
202,5,0.11
202,6,0.468
203,1,0
203,2,0
203,3,0
203,4,0
203,5,0.36
203,6,0.908
204,1,0
204,2,0
204,3,0
204,4,0
204,5,0.38
204,6,0.24
205,1,0
205,2,0
205,3,0
205,4,0
205,5,0.11
205,6,0.366
206,1,0
206,2,0
206,3,0
206,4,0
206,5,0.05
206,6,0.2
207,1,0
207,2,0
207,3,0
207,4,0
207,5,0.016
207,6,0.488
208,1,0
208,2,0
208,3,0
208,4,0
208,5,0.13
208,6,0.504
209,1,0
209,2,0
209,3,0
209,4,0
209,5,0.142
209,6,0.252
210,1,0
210,2,0
210,3,0
210,4,0
210,5,0.538
210,6,0.54
211,1,0
211,2,0
211,3,0
211,4,0
211,5,0.458
211,6,0.754
212,1,0
212,2,0
212,3,0
212,4,0
212,5,0.174
212,6,0.236
213,1,0
213,2,0
213,3,0
213,4,0
213,5,0.272
213,6,0.27
214,1,0
214,2,0
214,3,0
214,4,0
214,5,0.134
214,6,0.296
215,1,0
215,2,0
215,3,0
215,4,0
215,5,0.108
215,6,0.26
216,1,0
216,2,0
216,3,0
216,4,0
216,5,0.056
216,6,0.494
217,1,0
217,2,0
217,3,0
217,4,0
217,5,0.104
217,6,0.276
218,1,0
218,2,0
218,3,0
218,4,0
218,5,0.232
218,6,0.6879999999999999
219,1,0
219,2,0
219,3,0
219,4,0
219,5,0.266
219,6,0.358
220,1,0
220,2,0
220,3,0
220,4,0
220,5,0.856
220,6,0.77
221,1,0
221,2,0
221,3,0
221,4,0
221,5,0.216
221,6,0.284
222,1,0
222,2,0
222,3,0
222,4,0
222,5,0.012
222,6,0.856
223,1,0
223,2,0
223,3,0
223,4,0
223,5,0.7
223,6,0.358
224,1,0
224,2,0
224,3,0
224,4,0
224,5,0.894
224,6,0.958
225,1,0
225,2,0
225,3,0
225,4,0
225,5,0.408
225,6,0.986
226,1,0
226,2,0
226,3,0
226,4,0
226,5,0.822
226,6,0.894
227,1,0
227,2,0
227,3,0
227,4,0
227,5,0.33
227,6,0.6800000000000001
228,1,0
228,2,0
228,3,0
228,4,0
228,5,0.254
228,6,0.482
229,1,0
229,2,0
229,3,0
229,4,0
229,5,0.75
229,6,0.858
230,1,0
230,2,0
230,3,0
230,4,0
230,5,0.416
230,6,0.248
231,1,0
231,2,0
231,3,0
231,4,0
231,5,0.048
231,6,0.94
232,1,0
232,2,0
232,3,0
232,4,0
232,5,0.078
232,6,0.526
233,1,0
233,2,0
233,3,0
233,4,0
233,5,0.59
233,6,0.398
234,1,0
234,2,0
234,3,0
234,4,0
234,5,0.2
234,6,0.538
235,1,0
235,2,0
235,3,0
235,4,0
235,5,0.452
235,6,0.722
236,1,0
236,2,0
236,3,0
236,4,0
236,5,0.268
236,6,0.872
237,1,0
237,2,0
237,3,0
237,4,0
237,5,0.08400000000000001
237,6,0.498
238,1,0
238,2,0
238,3,0
238,4,0
238,5,0.002
238,6,0.858
239,1,0
239,2,0
239,3,0
239,4,0
239,5,0.018
239,6,0.908
240,1,0
240,2,0
240,3,0
240,4,0
240,5,0.144
240,6,0.402
241,1,0
241,2,0
241,3,0
241,4,0
241,5,0.056
241,6,0.144
242,1,0
242,2,0
242,3,0
242,4,0
242,5,0.374
242,6,0.398
243,1,0
243,2,0
243,3,0
243,4,0
243,5,0.278
243,6,0.662
244,1,0
244,2,0
244,3,0
244,4,0
244,5,0.468
244,6,0.31
245,1,0
245,2,0
245,3,0
245,4,0
245,5,0.26
245,6,0.784
246,1,0
246,2,0
246,3,0
246,4,0
246,5,0.08
246,6,0.466
247,1,0
247,2,0
247,3,0
247,4,0
247,5,0.31
247,6,0.92
248,1,0
248,2,0
248,3,0
248,4,0
248,5,0.53
248,6,0.662
249,1,0
249,2,0
249,3,0
249,4,0
249,5,0.394
249,6,0.908
250,1,0
250,2,0
250,3,0
250,4,0
250,5,0.658
250,6,0.8040000000000001
251,1,0
251,2,0
251,3,0
251,4,0
251,5,0.014
251,6,0.326
252,1,0
252,2,0
252,3,0
252,4,0
252,5,0.116
252,6,0.992
253,1,0
253,2,0
253,3,0
253,4,0
253,5,0.296
253,6,0.782
254,1,0
254,2,0
254,3,0
254,4,0
254,5,0.452
254,6,0.768
255,1,0
255,2,0
255,3,0
255,4,0
255,5,0.522
255,6,0.714
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0.506
256,6,0.656
257,1,0
257,2,0
257,3,0
257,4,0
257,5,0.698
257,6,0.356
258,1,0
258,2,0
258,3,0
258,4,0
258,5,0.15
258,6,0.762
259,1,0
259,2,0
259,3,0
259,4,0
259,5,0.864
259,6,0.532
260,1,0
260,2,0
260,3,0
260,4,0
260,5,0.056
260,6,0.038
261,1,0
261,2,0
261,3,0
261,4,0
261,5,0.004
261,6,0.172
262,1,0
262,2,0
262,3,0
262,4,0
262,5,0.132
262,6,0.352
263,1,0
263,2,0
263,3,0
263,4,0
263,5,0.37
263,6,0.948
264,1,0
264,2,0
264,3,0
264,4,0
264,5,0.004
264,6,0.87
265,1,0
265,2,0
265,3,0
265,4,0
265,5,0.192
265,6,0.386
266,1,0
266,2,0
266,3,0
266,4,0
266,5,0.022
266,6,0.156
267,1,0
267,2,0
267,3,0
267,4,0
267,5,0.03
267,6,0.844
268,1,0
268,2,0
268,3,0
268,4,0
268,5,0.162
268,6,0.392
269,1,0
269,2,0
269,3,0
269,4,0
269,5,0.878
269,6,0.986
270,1,0
270,2,0
270,3,0
270,4,0
270,5,0.942
270,6,0.874
271,1,0
271,2,0
271,3,0
271,4,0
271,5,0.656
271,6,0.354
272,1,0
272,2,0
272,3,0
272,4,0
272,5,0.8060000000000001
272,6,0.976
273,1,0
273,2,0
273,3,0
273,4,0
273,5,0
273,6,0.022
274,1,0
274,2,0
274,3,0
274,4,0
274,5,0.338
274,6,0.886
275,1,0
275,2,0
275,3,0
275,4,0
275,5,0.048
275,6,0.748
276,1,0
276,2,0
276,3,0
276,4,0
276,5,0.022
276,6,0.426
277,1,0
277,2,0
277,3,0
277,4,0
277,5,0.58
277,6,0.962
278,1,0
278,2,0
278,3,0
278,4,0
278,5,0.204
278,6,0.694
279,1,0
279,2,0
279,3,0
279,4,0
279,5,0.368
279,6,0.9260000000000001
280,1,0
280,2,0
280,3,0
280,4,0
280,5,0.088
280,6,0.394
281,1,0
281,2,0
281,3,0
281,4,0
281,5,0.38
281,6,0.586
282,1,0
282,2,0
282,3,0
282,4,0
282,5,0.85
282,6,0.94
283,1,0
283,2,0
283,3,0
283,4,0
283,5,0.186
283,6,0.322
284,1,0
284,2,0
284,3,0
284,4,0
284,5,0.71
284,6,0.904
285,1,0
285,2,0
285,3,0
285,4,0
285,5,0.298
285,6,0.582
286,1,0
286,2,0
286,3,0
286,4,0
286,5,0.168
286,6,0.334
287,1,0
287,2,0
287,3,0
287,4,0
287,5,0.284
287,6,0.738
288,1,0
288,2,0
288,3,0
288,4,0
288,5,0.142
288,6,0.184
289,1,0
289,2,0
289,3,0
289,4,0
289,5,0.154
289,6,0.9340000000000001
290,1,0
290,2,0
290,3,0
290,4,0
290,5,0.338
290,6,0.202
291,1,0
291,2,0
291,3,0
291,4,0
291,5,0.6780000000000001
291,6,0.446
292,1,0
292,2,0
292,3,0
292,4,0
292,5,0.156
292,6,0.694
293,1,0
293,2,0
293,3,0
293,4,0
293,5,0.334
293,6,0.84
294,1,0
294,2,0
294,3,0
294,4,0
294,5,0.264
294,6,0.154
295,1,0
295,2,0
295,3,0
295,4,0
295,5,0.112
295,6,0.888
296,1,0
296,2,0
296,3,0
296,4,0
296,5,0.864
296,6,0.778
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0.08
297,6,0.54
298,1,0
298,2,0
298,3,0
298,4,0
298,5,0.518
298,6,0.672
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0.786
299,6,0.892
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0.008
300,6,0.446
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0.094
301,6,0.748
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0.46
302,6,0.898
303,1,0
303,2,0
303,3,0
303,4,0
303,5,0.32
303,6,0.748
304,1,0
304,2,0
304,3,0
304,4,0
304,5,0.212
304,6,0.432
305,1,0
305,2,0
305,3,0
305,4,0
305,5,0.05
305,6,0.98
306,1,0
306,2,0
306,3,0
306,4,0
306,5,0.06800000000000001
306,6,0.17
307,1,0
307,2,0
307,3,0
307,4,0
307,5,0.696
307,6,0.64
308,1,0
308,2,0
308,3,0
308,4,0
308,5,0.506
308,6,0.874
309,1,0
309,2,0
309,3,0
309,4,0
309,5,0.978
309,6,0.528
310,1,0
310,2,0
310,3,0
310,4,0
310,5,0.588
310,6,0.6
311,1,0
311,2,0
311,3,0
311,4,0
311,5,0.8080000000000001
311,6,0.84
312,1,0
312,2,0
312,3,0
312,4,0
312,5,0.344
312,6,0.96
313,1,0
313,2,0
313,3,0
313,4,0
313,5,0.186
313,6,0.658
314,1,0
314,2,0
314,3,0
314,4,0
314,5,0.056
314,6,0.396
315,1,0
315,2,0
315,3,0
315,4,0
315,5,0.088
315,6,0.472
316,1,0
316,2,0
316,3,0
316,4,0
316,5,0.024
316,6,0.134
317,1,0
317,2,0
317,3,0
317,4,0
317,5,0.046
317,6,0.886
318,1,0
318,2,0
318,3,0
318,4,0
318,5,0.038
318,6,0.572
319,1,0
319,2,0
319,3,0
319,4,0
319,5,0.386
319,6,0.598
320,1,0
320,2,0
320,3,0
320,4,0
320,5,0.51
320,6,0.452
321,1,0
321,2,0
321,3,0
321,4,0
321,5,0.052
321,6,0.192
322,1,0
322,2,0
322,3,0
322,4,0
322,5,0.094
322,6,0.102
323,1,0
323,2,0
323,3,0
323,4,0
323,5,0.038
323,6,0.154
324,1,0
324,2,0
324,3,0
324,4,0
324,5,0.34
324,6,0.912
325,1,0
325,2,0
325,3,0
325,4,0
325,5,0.856
325,6,0.61
326,1,0
326,2,0
326,3,0
326,4,0
326,5,0.736
326,6,0.848
327,1,0
327,2,0
327,3,0
327,4,0
327,5,0.426
327,6,0.406
328,1,0
328,2,0
328,3,0
328,4,0
328,5,0.07000000000000001
328,6,0.566
329,1,0
329,2,0
329,3,0
329,4,0
329,5,0.458
329,6,0.718
330,1,0
330,2,0
330,3,0
330,4,0
330,5,0.138
330,6,0.328
331,1,0
331,2,0
331,3,0
331,4,0
331,5,0.564
331,6,0.538
332,1,0
332,2,0
332,3,0
332,4,0
332,5,0.748
332,6,0.6820000000000001
333,1,0
333,2,0
333,3,0
333,4,0
333,5,0.202
333,6,0.53
334,1,0
334,2,0
334,3,0
334,4,0
334,5,0.514
334,6,0.8120000000000001
335,1,0
335,2,0
335,3,0
335,4,0
335,5,0.648
335,6,0.906
336,1,0
336,2,0
336,3,0
336,4,0
336,5,0.118
336,6,0.44
337,1,0
337,2,0
337,3,0
337,4,0
337,5,0.448
337,6,0.336
338,1,0
338,2,0
338,3,0
338,4,0
338,5,0.23
338,6,0.568
339,1,0
339,2,0
339,3,0
339,4,0
339,5,0.216
339,6,0.442
340,1,0
340,2,0
340,3,0
340,4,0
340,5,0.296
340,6,0.02
341,1,0
341,2,0
341,3,0
341,4,0
341,5,0.126
341,6,0.8120000000000001
342,1,0
342,2,0
342,3,0
342,4,0
342,5,0.118
342,6,0.92
343,1,0
343,2,0
343,3,0
343,4,0
343,5,0.304
343,6,0.25
344,1,0
344,2,0
344,3,0
344,4,0
344,5,0.942
344,6,0.734
345,1,0
345,2,0
345,3,0
