Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
1,1,1465.346394,1477.346394,1516.4495531484974,0,0,0.07030330579494809
1,2,902.7353476,928.7353476,1013.458859088411,0.3839440617615496,0.30974488917958626,0.058409106440203556
1,3,320.6570072,360.6570072,491.0008710283248,0.781173237595588,0.7386602013534477,0.03594003725263318
1,4,23.30835523,77.30835523,253.27257139823843,0.9840936209175944,1.014268580730407,NA
1,5,16.61813568,84.61813568,306.2027041881521,0.988659244156846,1.0172803849287801,NA
1,6,11.60923775,93.60923775,360.8141585980657,0.9920774788831261,1.019115695179605,NA
2,1,1333.384937,1345.384937,1384.4880961484976,0,0,0.0669286151545196
2,2,781.6499252,807.6499252,892.3734366884111,0.41378524422313917,0.3465287073283599,0.054103466966799504
2,3,369.7962747,409.7962747,540.1401385283248,0.7226635276591549,0.6606078235067515,0.038990854445232793
2,4,30.72101586,84.72101586,260.68523202823843,0.9769601298113358,1.006548488087493,NA
2,5,22.75261792,90.75261792,312.33718642815205,0.9829361969761026,1.0096204027764426,NA
2,6,14.41341671,96.41341671,363.6183375580657,0.9891903558304558,1.015399858651732,NA
3,1,1323.02369,1335.02369,1374.1268491484975,0,0,0.06665641005458653
3,2,777.0118688,803.0118688,887.7353802884111,0.41269995792743513,0.3453570126859158,0.05393170867903416
3,3,281.3337861,321.3337861,451.67764992832474,0.7873554432725237,0.7504542488164583,0.0332979126653908
3,4,37.57308168,91.57308168,267.53729784823844,0.9716005979605701,0.9980326492468715,0.0029565335927135418
3,5,19.77949108,87.77949108,309.3640595881521,0.9850497831372921,1.0143149527135245,NA
3,6,11.08920925,93.08920925,360.29413009806575,0.9916182836831893,1.022328860957714,NA
4,1,1387.263215,1399.263215,1438.3663741484975,0,0,0.06832659755071041
4,2,731.9629367,757.9629367,842.6864481884111,0.4723691014181472,0.41557600099616376,0.052234063849994065
4,3,321.2454079,361.2454079,491.5892717283248,0.7684322596991805,0.7227338680837775,0.03597809851314409
4,4,28.03887334,82.03887334,258.0030895082384,0.9797883537624112,1.0094756564486875,NA
4,5,19.20199215,87.20199215,308.7865606581521,0.9861583642221783,1.0144769494812684,NA
4,6,12.46599408,94.46599408,361.6709149280657,0.9910139662428806,1.01856906387576,NA
5,1,1507.386552,1519.386552,1558.4897111484975,0,0,0.07134489217723008
5,2,914.6288863,940.6288863,1025.352397788411,0.39323534160068585,0.3204039784960719,0.05881502687814854
5,3,329.9094008,369.9094008,500.2532646283248,0.7811381557290157,0.7377790332330917,0.036533946887208305
5,4,56.47285058,110.47285058,286.4370667482384,0.9625359198640377,0.977650546533979,0.010665871316491953
5,5,32.010360059999996,100.01036006,321.59492856815206,0.9787643322029583,0.9959204567964791,0.004556891145666268
5,6,19.40513041,101.40513041,368.61005125806577,0.9871266395575485,1.0046353651040019,NA
6,1,1433.057036,1445.057036,1484.1601951484975,0,0,0.06949270572501967
6,2,831.1645764,857.1645764,941.8880878884111,0.42000593450210727,0.35284105687607564,0.05590423384925738
6,3,322.7599148,362.7599148,493.1037786283248,0.7747752485128583,0.7305020587654946,0.03607588113804691
6,4,48.80921553,102.80921553,278.7734316982384,0.9659404934319724,0.9852613246457758,0.008436619216769343
6,5,32.39658359,100.39658359,321.98115209815205,0.977393374599781,0.9951484252227383,0.00484039257641897
6,6,20.63564797,102.63564797000001,369.8405688180657,0.9856002605258483,1.0025688703195057,NA
7,1,1367.340924,1379.340924,1418.4440831484976,0,0,0.06781303100486213
7,2,771.4128048,797.4128048,882.1363162884111,0.435829944632009,0.37236899007818824,0.05372363041430631
7,3,252.0971014,292.09710140000004,422.4409652283248,0.8156296670602686,0.7884709067995123,0.031188767297145967
7,4,22.94896915,76.94896915,252.91318531823845,0.9832163517180006,1.0157700425902034,NA
7,5,18.1425262,86.14252619999999,307.7270947081521,0.9867315269501873,1.0162862592176234,NA
7,6,13.17836349,95.17836349,362.3832843380657,0.9903620499769376,1.0174428332442547,NA
8,1,1527.141359,1539.141359,1578.2445181484975,0,0,0.07182912095979531
8,2,879.3516883,905.3516883,990.075199788411,0.42418448487583654,0.35689114596088295,0.05760269409735498
8,3,311.9305986,351.9305986,482.2744624283248,0.7957421578810112,0.75751352347051,0.03537075361835931
8,4,41.76549567,95.76549567,271.7297118382384,0.9726511920957017,0.9937905961072279,0.005660118275069661
8,5,33.88971388,101.88971388,323.47428238815206,0.9778083975787338,0.9934626579425743,0.005807659638077075
8,6,25.65785952,107.65785952,374.8627803680657,0.9831987658714179,0.9935535576727922,0.005767141436422892
9,1,1375.278128,1387.278128,1426.3812871484974,0,0,0.06801810482323672
9,2,781.8778167,807.8778167,892.6013281884111,0.43147658587645327,0.3670981158552605,0.05411189228050739
9,3,268.0497867,308.0497867,438.39365052832477,0.8050941251499348,0.7737034363686688,0.03235664668148389
9,4,29.73083788,83.73083788,259.69505404823843,0.9783819452409701,1.0075296503414846,NA
9,5,22.40479169,90.40479169,311.9893601981521,0.9837089013241401,1.0098332782502124,NA
9,6,15.47609625,97.47609625,364.68101709806575,0.9887469334857335,1.012821908499487,NA
10,1,1360.978406,1372.978406,1412.0815651484975,0,0,0.0676481934990648
10,2,746.1194629,772.1194629,856.8429743884111,0.45177714825550286,0.39141922592083167,0.05277342947517922
10,3,288.420455,328.420455,458.7643188283248,0.7880785957157942,0.7505136682562161,0.03378933015226139
10,4,38.8346574,92.8346574,268.79887356823843,0.9714656329381908,0.9965580660466857,0.003968784060143594
10,5,32.54097098,100.54097098,322.12553948815207,0.9760900166846587,0.9946626113742455,0.004942203414688613
10,6,25.69361227,107.69361227,374.89853311806576,0.9811212197366782,0.9926610643515239,0.005795257575441276
11,1,1395.201199,1407.201199,1446.3043581484976,0,0,0.06853015453013919
11,2,794.6868537,820.6868537,905.4103651884111,0.4304141551271703,0.36560883830294644,0.054583360866263
11,3,354.4170689,394.4170689,524.7609327283247,0.7459742228188839,0.6915197258555834,0.03806233350048463
11,4,47.2330983,101.2330983,277.19731446823846,0.9661460308851125,0.986709219070876,0.007900543360031854
11,5,33.07745358,101.07745358,322.66202208815207,0.9762919831177695,0.9940111357556676,0.005303394640811166
11,6,22.41407652,104.41407652,371.6189973680657,0.9839348786855509,0.9991983009574332,0.0019403826985941162
12,1,1407.086164,1419.086164,1458.1893231484976,0,0,0.06883380022560442
12,2,771.6285343,797.6285343,882.352045788411,0.4516124498684219,0.39066368426097003,0.05373166250462665
12,3,321.4473128,361.4473128,491.7911766283248,0.7715510812172267,0.726606651282919,0.035991149648708406
12,4,32.60281469,86.60281469,262.56703085823847,0.9768295534956308,1.0039840988555107,NA
12,5,17.59063709,85.59063709,307.17520559815205,0.987498535953197,1.0166102728186752,NA
12,6,10.09222431,92.09222431,359.29714515806575,0.9928275719225963,1.0228518483563447,NA
13,1,1446.511382,1458.511382,1497.6145411484974,0,0,0.06983161049337293
13,2,799.7768862,825.7768862,910.5003976884111,0.44709948628665536,0.3848588350260811,0.05476958541286633
13,3,315.1060524,355.1060524,485.4499162283248,0.7821613736876908,0.7404132666375987,0.03557896455196848
13,4,37.893262,91.893261999999993,267.85747816823846,0.9738036890192959,0.997842648234361,0.003243489828483468
13,5,21.70412616,89.70412616,311.28869466815206,0.9849955372421674,1.0103202938883507,NA
13,6,18.94882332,100.94882332,368.1537441680657,0.9869003289183935,1.005689281498942,NA
14,1,1109.939936,1121.939936,1161.0430951484975,0,0,0.06078869256907013
14,2,596.0451424,622.0451424,706.7686538884111,0.4629933358844383,0.40880629459190726,0.04673989188154611
14,3,235.0386221,275.0386221,405.38248592832474,0.7882420350176498,0.7582361387001413,0.02988948928640857
14,4,32.11560927,86.11560927,262.07982543823846,0.9710654529778087,1.0058410599809369,NA
14,5,18.12228433,86.12228433,307.7068528381521,0.983672734224422,1.0203053725717997,NA
14,6,12.8213961,94.8213961,362.02631694806576,0.9884485676349248,1.0225852657623613,NA
15,1,1359.833059,1371.833059,1410.9362181484976,0,0,0.06761847764014169
15,2,734.93164,760.93164,845.6551514884111,0.45954274671005774,0.4006737362042945,0.05234763237170316
15,3,292.8177438,332.8177438,463.16160762832476,0.7846664030838215,0.745820271352738,0.03409069417750987
15,4,33.31408086,87.31408085999999,263.27829702823846,0.9755013450809185,1.0032641981838135,NA
15,5,24.78854081,92.78854081,314.37310931815205,0.9817708941212026,1.0063536119168361,NA
15,6,20.09682579,102.09682579,369.30174663806577,0.985221108093387,1.003784791403787,NA
16,1,1482.085334,1494.085334,1533.1884931484976,0,0,0.07071986762911364
16,2,871.3356833,897.3356833,982.0591947884111,0.41208804694912393,0.342970798573947,0.05732364200909287
16,3,314.7253234,354.7253234,485.0691872283247,0.7876469618988889,0.7472473930152831,0.035554064912394066
16,4,29.66174049,83.66174049,259.62595665823847,0.9799864826879124,1.0070420888616765,NA
16,5,22.41422836,90.41422836,311.99879686815206,0.9848765601778771,1.0090832790131057,NA
16,6,15.72501045,97.72501045,364.92993129806575,0.9893899426104166,1.011408388734744,NA
17,1,1371.609097,1383.609097,1422.7122561484975,0,0,0.06792338489422264
17,2,768.3889079,794.3889079,879.1124193884111,0.4397901635526991,0.37702899145083274,0.053610917336784476
17,3,249.4199949,289.4199949,419.76385872832475,0.8181551905382267,0.7918571341915476,0.030988466508463968
17,4,41.9228357,95.92283570000001,271.8870518682384,0.9694352889670286,0.9928664549689583,0.0057368305729542275
17,5,25.79492517,93.79492517,315.3794936781521,0.9811936759340406,1.0047920175302696,NA
17,6,18.661594,100.66159400000001,367.8665148480657,0.9863943786602052,1.0065795273091325,NA
18,1,1410.587239,1422.587239,1461.6903981484975,0,0,0.06892299314864991
18,2,781.4104995,807.4104995,892.1340109884111,0.44603887097833017,0.38400130748425293,0.05409461381180838
18,3,355.9346759,395.9346759,526.2785397283247,0.7476691507911762,0.693539971136978,0.038154964037740366
18,4,42.7932641,96.7932641,272.75748026823845,0.9696628021884437,0.9920537064906042,0.0061439324290107206
