Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
10,6,18.92035847,100.92035847,273.71929050530986,0.8743000160287032,1.0853194327709592,NA
11,1,166.6254775,178.6254775,203.91312609053313,0,0,0.062082335775055314
11,2,115.759251,141.759251,196.5491562794885,0.305272802594069,0.3161667538460665,0.05133849747163712
11,3,70.77788343,110.77788343,195.07004539844382,0.5752277233234034,0.6641123366876395,0.03598032442364572
11,4,36.79894784,90.79894784,204.5933664973992,0.7791517336236892,0.9884607047967781,0.006668953515589768
11,5,29.43975876,97.43975876,240.7364341063545,0.8233177830803216,0.9921153964886712,0.005512619003830246
11,6,22.1371038,104.1371038,276.93603583530984,0.8671445439668732,0.9967596630827156,0.003533972232157037
12,1,247.5472755,259.5472755,284.83492409053315,0,0,0.08184905528772131
12,2,153.5493847,179.5493847,234.33928997948848,0.3797169272420452,0.3804881321538498,0.06442263530685281
12,3,91.98109225,131.98109225000002,216.2732542184438,0.628430197568464,0.659252936363999,0.04777819428261303
12,4,63.97867485,117.97867485,231.77309350739918,0.7415496707819755,0.7675140282312776,0.03946499457231923
12,5,47.50911221,115.50911221,258.8057875563545,0.8080806499928536,0.8090763613601009,0.03576378887129047
12,6,42.01854815,124.01854815,296.8174801853099,0.8302605105827553,0.7278038310831878,0.04270263509110195
13,1,163.0804997,175.0804997,200.36814829053316,0,0,0.0610703034249221
13,2,106.1669932,132.16699319999998,186.95689847948847,0.3489902631197297,0.3963982783915938,0.04744662361205872
13,3,45.08419336,85.08419336,169.37635532844382,0.7235463869503951,0.9739559301649332,0.009855632553650568
13,4,30.69944273,84.69944273,198.4938613873992,0.8117528289006094,1.0791149083438314,NA
13,5,23.54025553,91.54025553,234.8369308763545,0.8556525423131262,1.1011611174500373,NA
13,6,18.36900014,100.36900014,273.1679321753099,0.8873623751840883,1.08868350519623,NA
14,1,172.1562658,184.1562658,209.44391439053317,0,0,0.06362914478410404
14,2,106.2361819,132.23618190000002,187.0260871794885,0.3829084209841173,0.44328476682855394,0.04747583792175495
14,3,66.87282405,106.87282405,191.1649860184438,0.6115574200030075,0.7251962696491302,0.03335549561132738
14,4,24.2623816,78.2623816,192.05680025739917,0.8590676819850027,1.161385594935353,NA
14,5,16.92395158,84.92395158,228.2206269263545,0.9016942456241405,1.206117150572291,NA
14,6,10.96988595,92.96988595,265.76881798530985,0.9362794848097826,1.2481673278251533,NA
15,1,177.4462453,189.4462453,214.73389389053312,0,0,0.06507421418902169
15,2,106.4821543,132.4821543,187.27205957948848,0.39991880853846384,0.4654075289634618,0.04757955232659507
15,3,74.61669142,114.61669142,198.90885338844382,0.5794969271181305,0.6520398139066174,0.03838607519027924
15,4,50.06739506,104.06739506,217.86181371739917,0.7178447198172415,0.8150762154835999,0.02798371176284214
15,5,39.89203816,107.89203816,251.1887135063545,0.7751880402284286,0.8222569018742057,0.027435021529605204
15,6,33.0043565,115.0043565,287.8032885353099,0.8140036356125705,0.7632862093422638,0.03166071457103966
16,1,191.6899894,203.6899894,228.97763799053314,0,0,0.06881450000670807
16,2,126.4062871,152.4062871,207.19619237948848,0.34056917893491206,0.35330630225738224,0.05533874082840109
16,3,73.36507994,113.36507994,197.65724190844384,0.6172722416562458,0.7011553329534661,0.037618607347593674
16,4,57.34889804,111.34889804,225.14331669739917,0.7008247628397021,0.7490353808234343,0.034473565881705824
16,5,43.90832883,111.90832883,255.20500417635452,0.7709409397567633,0.7824442819689075,0.03209705673527797
